bucket,aki_reskin,canon_basis,list_cost,discount,final_cost,pay_with
On Body,Spinneret Kit,Spider Folk toolkit,20.00,SF,10.00,Cash
On Body,Silksteel Ritual Miko Robes,Ruffle Coat,350.00,SF+AG,148.75,Cash
On Body,Veiled Miko Work Hat / Ichimegasa with Uchikatsugi Veil,Moss Hat,10.00,AG,8.50,Cash
On Body,Silk Filter Menpo,Dust Face,25.00,AG,21.25,Cash
On Body,Bell-Tikker Clicker,Tikker Clicker,30.00,AG,25.50,Cash
On Body,Silkthorn Thawnette x2,Thawnette,10.00,SF+AG,4.25,Cash
On Body,Safety Netsuke,Safety Scarab,10.00,AG,8.50,Cash
In Shrine,Ichi Maintenance Sutra Box,Machination Kit,125.00,AG,106.25,Guild Credit
In Shrine,Treated Chitin Patch-Stock,Thorned Leather,10.00,AG,8.50,Cash
In Shrine,Ichi Armor Repair Work Order,Hardened Armor/Ward mod comparator,10.00,AG,8.50,Guild Credit
In Shrine,Shrine Weather-Seal Materials,Waterproof Armor/Ward mod comparator,25.00,AG,21.25,Guild Credit
In Shrine,Ephyra Spore Sacks x4,Spore Sack,40.00,AG,34.00,Cash
In Shrine,Heretech Ofuda x2,Heretech Scribbles,10.00,AG,8.50,Cash
In Shrine,Purification Gourd,Water Extractor,10.00,AG,8.50,Cash
In Shrine,Hard-Silk Leashes x2,Hard Leash,10.00,SF+AG,4.25,Cash
Company Pool / Ship Cargo,Operational cash reserve,Reserve,50.00,FULL,50.00,Cash
Company Pool / Ship Cargo,Operational Guild credit reserve,Reserve,100.00,FULL,100.00,Guild Credit
Held Reserve,Powers cash reserve,Reserve,80.00,FULL,80.00,Cash
Held Reserve,Powers Guild certificate,Reserve,100.00,FULL,100.00,Guild Credit
